"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births
	"Arizona"	"04"	"2010"	"2010"	87477
	"Arizona"	"04"	"2011"	"2011"	85543
	"Arizona"	"04"	"2012"	"2012"	86441
	"Arizona"	"04"	"2013"	"2013"	85600
	"Arizona"	"04"	"2014"	"2014"	86887
	"Arizona"	"04"	"2015"	"2015"	85351
	"Arizona"	"04"	"2016"	"2016"	84520
	"Arizona"	"04"	"2017"	"2017"	81872
	"Arizona"	"04"	"2018"	"2018"	80723
	"Arizona"	"04"	"2019"	"2019"	79375
	"Arizona"	"04"	"2020"	"2020"	76947
	"Arizona"	"04"	"2021"	"2021"	77916
	"Arizona"	"04"	"2022"	"2022"	78547
	"Arizona"	"04"	"2023"	"2023"	78096
"Total"	"Arizona"	"04"			1155295
	"Arkansas"	"05"	"2010"	"2010"	38540
	"Arkansas"	"05"	"2011"	"2011"	38715
	"Arkansas"	"05"	"2012"	"2012"	38347
	"Arkansas"	"05"	"2013"	"2013"	37832
	"Arkansas"	"05"	"2014"	"2014"	38511
	"Arkansas"	"05"	"2015"	"2015"	38886
	"Arkansas"	"05"	"2016"	"2016"	38274
	"Arkansas"	"05"	"2017"	"2017"	37520
	"Arkansas"	"05"	"2018"	"2018"	37018
	"Arkansas"	"05"	"2019"	"2019"	36564
	"Arkansas"	"05"	"2020"	"2020"	35251
	"Arkansas"	"05"	"2021"	"2021"	35965
	"Arkansas"	"05"	"2022"	"2022"	35471
	"Arkansas"	"05"	"2023"	"2023"	35264
"Total"	"Arkansas"	"05"			522158
	"California"	"06"	"2010"	"2010"	510198
	"California"	"06"	"2011"	"2011"	502120
	"California"	"06"	"2012"	"2012"	503755
	"California"	"06"	"2013"	"2013"	494705
	"California"	"06"	"2014"	"2014"	502879
	"California"	"06"	"2015"	"2015"	491748
	"California"	"06"	"2016"	"2016"	488827
	"California"	"06"	"2017"	"2017"	471658
	"California"	"06"	"2018"	"2018"	454920
	"California"	"06"	"2019"	"2019"	446479
	"California"	"06"	"2020"	"2020"	420259
	"California"	"06"	"2021"	"2021"	420608
	"California"	"06"	"2022"	"2022"	419104
	"California"	"06"	"2023"	"2023"	400108
"Total"	"California"	"06"			6527368
	"Florida"	"12"	"2010"	"2010"	214590
	"Florida"	"12"	"2011"	"2011"	213414
	"Florida"	"12"	"2012"	"2012"	213148
	"Florida"	"12"	"2013"	"2013"	215407
	"Florida"	"12"	"2014"	"2014"	219991
	"Florida"	"12"	"2015"	"2015"	224269
	"Florida"	"12"	"2016"	"2016"	225022
	"Florida"	"12"	"2017"	"2017"	223630
	"Florida"	"12"	"2018"	"2018"	221542
	"Florida"	"12"	"2019"	"2019"	220002
	"Florida"	"12"	"2020"	"2020"	209671
	"Florida"	"12"	"2021"	"2021"	216260
	"Florida"	"12"	"2022"	"2022"	224433
	"Florida"	"12"	"2023"	"2023"	221410
"Total"	"Florida"	"12"			3062789
	"Georgia"	"13"	"2010"	"2010"	133947
	"Georgia"	"13"	"2011"	"2011"	132409
	"Georgia"	"13"	"2012"	"2012"	130280
	"Georgia"	"13"	"2013"	"2013"	128748
	"Georgia"	"13"	"2014"	"2014"	130946
	"Georgia"	"13"	"2015"	"2015"	131404
	"Georgia"	"13"	"2016"	"2016"	130042
	"Georgia"	"13"	"2017"	"2017"	129243
	"Georgia"	"13"	"2018"	"2018"	126172
	"Georgia"	"13"	"2019"	"2019"	126371
	"Georgia"	"13"	"2020"	"2020"	122473
	"Georgia"	"13"	"2021"	"2021"	124073
	"Georgia"	"13"	"2022"	"2022"	126130
	"Georgia"	"13"	"2023"	"2023"	125120
"Total"	"Georgia"	"13"			1797358
	"Illinois"	"17"	"2010"	"2010"	165200
	"Illinois"	"17"	"2011"	"2011"	161312
	"Illinois"	"17"	"2012"	"2012"	159160
	"Illinois"	"17"	"2013"	"2013"	156931
	"Illinois"	"17"	"2014"	"2014"	158556
	"Illinois"	"17"	"2015"	"2015"	158116
	"Illinois"	"17"	"2016"	"2016"	154445
	"Illinois"	"17"	"2017"	"2017"	149390
	"Illinois"	"17"	"2018"	"2018"	144815
